
 !download_id              date=25-02-2014 15:31:34ordid= download_id= max= end_date=1970-01-01 00:00:00
 download_max=0            date=25-02-2014 16:36:04ordid=108481 download_id=859d312fb6725ee8eca25cb560eb6359 max=0 end_date=2014-06-02 09:05:27
 !download_id              date=25-02-2014 20:06:49ordid= download_id= max= end_date=1970-01-01 00:00:00
 !download_id              date=25-02-2014 20:37:06ordid= download_id= max= end_date=1970-01-01 00:00:00
 end_date!=0&seit>endtate  date=26-02-2014 03:05:04ordid=12139 download_id=a3e53fc01e210e7aefde7d1e7d1f3e91 max=4 end_date=2012-10-08 15:48:18
 download_max=0            date=26-02-2014 04:18:02ordid=100261 download_id=d5bf1efb6aa7bb0daf91485900c74325 max=0 end_date=2014-03-24 21:48:39
 !download_id              date=26-02-2014 07:31:40ordid= download_id= max= end_date=1970-01-01 00:00:00
 !download_id              date=26-02-2014 10:19:26ordid= download_id= max= end_date=1970-01-01 00:00:00
 download_max=0            date=26-02-2014 10:32:33ordid=108892 download_id=11a715816bc44ac48dc6007fe8c897f1 max=0 end_date=2014-06-04 15:54:47
 !download_id              date=26-02-2014 11:13:01ordid= download_id= max= end_date=1970-01-01 00:00:00
 download_max=0            date=26-02-2014 17:22:31ordid=109032 download_id=c09b8c5d85f8a1d87453f4fdf6237c7f max=0 end_date=2014-06-06 17:08:03
 end_date!=0&seit>endtate  date=26-02-2014 18:56:28ordid=27325 download_id=f4f236192dce2cf4fac044e39b10ed84 max=4 end_date=2012-12-31 07:14:02
 !download_id              date=26-02-2014 18:56:33ordid= download_id= max= end_date=1970-01-01 00:00:00
 !download_id              date=26-02-2014 18:56:37ordid= download_id= max= end_date=1970-01-01 00:00:00
 download_max=0            date=26-02-2014 22:37:01ordid=108912 download_id=b9941530cfbd674d00e97580969f605e max=0 end_date=2014-06-06 14:12:24
 !download_id              date=27-02-2014 03:39:16ordid= download_id= max= end_date=1970-01-01 00:00:00
 !download_id              date=27-02-2014 04:15:41ordid= download_id= max= end_date=1970-01-01 00:00:00
 download_max=0            date=27-02-2014 05:08:26ordid=107798 download_id=6e08ecdee0d4046fad3a6f23a154d395 max=0 end_date=2014-05-24 08:00:53
 download_max=0            date=27-02-2014 07:45:14ordid=109001 download_id=158a19f3bf2aa61316681b933709b231 max=0 end_date=2014-06-06 08:00:59
 !download_id              date=27-02-2014 14:08:13ordid= download_id= max= end_date=1970-01-01 00:00:00
 !download_id              date=27-02-2014 17:14:53ordid= download_id= max= end_date=1970-01-01 00:00:00
 !download_id              date=27-02-2014 17:35:37ordid= download_id= max= end_date=1970-01-01 00:00:00
 !download_id              date=27-02-2014 19:26:28ordid= download_id= max= end_date=1970-01-01 00:00:00
 !download_id              date=27-02-2014 23:02:20ordid= download_id= max= end_date=1970-01-01 00:00:00
 !download_id              date=28-02-2014 07:54:37ordid= download_id= max= end_date=1970-01-01 00:00:00
 download_max=0            date=28-02-2014 13:49:58ordid=109145 download_id=492e0198beef1ee7986706b5d0ef1620 max=0 end_date=2014-06-08 13:27:17
 download_max=0            date=28-02-2014 15:11:42ordid=109032 download_id=a7ddf9c2b5293628f5dc88931ed454b8 max=0 end_date=2014-06-07 03:23:40
 !download_id              date=28-02-2014 15:12:41ordid= download_id= max= end_date=1970-01-01 00:00:00
 !download_id              date=28-02-2014 18:36:10ordid= download_id= max= end_date=1970-01-01 00:00:00
